"boyle_1811WL0800-out" "boyle_1811WL0875-out" "boyle_1813WL0672-out" "boyle_1816WL0749-out" "boyle_1816WL0804-out" "boyle_1816WL0857-out" "boyle_1823WL1245-out" "boyle_1823WL1277-out" "boyle_1825WL1210-out" "boyle_1826WL1283-out" "mills_1821WL1078-out" "mills_1821WL1160-out" "mills_1823WL1275-out" "mills_1826WL1312-out" "mills_1827WL1430-out" "mills_1827WL1468-out" "mills_1827WL1658-out" "mills_1827WL1678-out" "mills_1828WL1313-out" "mills_1828WL1326-out" "owsley_1815WL0729-out" "owsley_1816WL0780-out" "owsley_1818WL1295-out" "owsley_1820WL1109-out" "owsley_1821WL1072-out" "owsley_1821WL1172-out" "owsley_1826WL1253-out" "owsley_1826WL1285-out" "owsley_1828WL1236-out" "owsley_1828WL1289-out"
"his" 0.590841949778434 0.228310502283105 0.656455142231947 0 1.46341463414634 0 0.484652665589661 1.17252931323283 0.107758620689655 0.559440559440559 1.16414435389988 1.14285714285714 0.264550264550265 0 0.968109339407745 0.839748075577327 0.436681222707424 0.619834710743802 0.311284046692607 0.307125307125307 0.14903129657228 1.30151843817787 0 0.268817204301075 0.320855614973262 0.539568345323741 0.241157556270096 0.0798722044728434 0.72202166064982 0.220994475138122
"k" 0 0 0 0 0 0 0 0 0 0.13986013986014 0.69848661233993 0.457142857142857 0.925925925925926 1.28571428571429 0.626423690205011 1.04968509447166 1.74672489082969 0.723140495867769 0.700389105058366 0.42997542997543 1.19225037257824 0.867678958785249 1.61290322580645 1.34408602150538 0.53475935828877 0.899280575539568 0.401929260450161 0.878594249201278 0.72202166064982 0.441988950276243
"but" 0.147710487444609 0.228310502283105 0.656455142231947 1.28440366972477 0.853658536585366 0 0.646203554119548 0.670016750418761 0.862068965517241 0.839160839160839 0.465657741559953 0.342857142857143 0.396825396825397 0.571428571428571 0.455580865603645 0.349895031490553 0 0.619834710743802 0.389105058365759 0.552825552825553 1.19225037257824 0.650759219088937 0 0.537634408602151 0.962566844919786 0.539568345323741 0.482315112540193 0.319488817891374 0.541516245487365 0.441988950276243
"with" 0.886262924667651 0.45662100456621 0.437636761487965 0.36697247706422 0.731707317073171 0.813008130081301 0.24232633279483 0.251256281407035 0.754310344827586 0.13986013986014 0.659681800543267 0.114285714285714 0.793650793650794 0.714285714285714 0.455580865603645 0.979706088173548 0 0.103305785123967 0.311284046692607 0.184275184275184 0.447093889716841 0.433839479392625 0.806451612903226 0.537634408602151 1.06951871657754 1.43884892086331 0.723472668810289 0.23961661341853 0.812274368231047 0.441988950276243
"he" 1.03397341211226 0.228310502283105 0.218818380743982 0 0.853658536585366 0.2710027100271 0.403877221324717 0.753768844221106 0 0.13986013986014 1.0477299185099 1.6 1.05820105820106 0 0.683371298405467 1.67949615115465 0.436681222707424 0.619834710743802 0.155642023346304 0.122850122850123 0.14903129657228 0.433839479392625 0 0 0 0.539568345323741 0 0.23961661341853 0.270758122743682 0.552486187845304
"from" 0.886262924667651 0.228310502283105 0.218818380743982 0.55045871559633 0.24390243902439 0 0.403877221324717 1.17252931323283 0.431034482758621 0.699300699300699 0.426852929763291 0.571428571428571 0.793650793650794 1.42857142857143 0.5125284738041 0.489853044086774 0.873362445414847 0.206611570247934 0.155642023346304 0.122850122850123 0.14903129657228 0.759219088937093 0 0.806451612903226 0.427807486631016 0.359712230215827 0.160771704180064 0.23961661341853 1.26353790613718 0.331491712707182
"had" 0.295420974889217 0.342465753424658 0.437636761487965 0.917431192660551 0.24390243902439 1.3550135501355 0.24232633279483 0.50251256281407 0.646551724137931 0.559440559440559 0.853705859526581 0.342857142857143 0.925925925925926 0.142857142857143 0.227790432801822 0.209937018894332 0 0.723140495867769 0 0.122850122850123 1.19225037257824 0.976138828633406 0.403225806451613 0 0.641711229946524 0.359712230215827 0.321543408360129 0 0.631768953068592 0.441988950276243
"judgment" 2.51107828655835 0.342465753424658 0.656455142231947 0.36697247706422 0.48780487804878 0 0.24232633279483 0.16750418760469 0 0.559440559440559 0.310438494373302 0.457142857142857 1.19047619047619 0.285714285714286 0 0.139958012596221 0.873362445414847 2.06611570247934 0.233463035019455 0.737100737100737 0.29806259314456 0.216919739696312 2.01612903225806 1.34408602150538 0.213903743315508 0.179856115107914 0 0.319488817891374 0.36101083032491 0.220994475138122
"action" 1.18168389955687 0 0.656455142231947 0.18348623853211 0 0 0.565428109854604 0 0 0.41958041958042 0.892510671323244 0.914285714285714 0 0.428571428571429 0 0 0.873362445414847 1.75619834710744 0.155642023346304 0.368550368550369 1.34128166915052 0 0 0.268817204301075 0 0.359712230215827 0 1.2779552715655 0.451263537906137 0.773480662983425
"at" 0.590841949778434 0 0.218818380743982 0 0.121951219512195 0.813008130081301 0.0807754442649435 0 1.07758620689655 0.41958041958042 0.155219247186651 1.14285714285714 1.19047619047619 0.428571428571429 0.455580865603645 0.839748075577327 0 0.206611570247934 0.466926070038911 0.0614250614250614 0.745156482861401 0.976138828633406 1.20967741935484 0 0.320855614973262 0.179856115107914 0.160771704180064 0.559105431309904 0.0902527075812274 0.883977900552486
